State,Postcode,District,City/ Town
VIC,3000,melbourne,melbourne
VIC,3001,melbourne,melbourne
VIC,3002,melbourne,East melbourne
VIC,3003,melbourne,West melbourne
VIC,3005,melbourne,World Trade Centre
VIC,3006,melbourne,Southbank
VIC,3008,melbourne,Docklands
VIC,3010,melbourne,University Of melbourne
VIC,3011,melbourne,"Footscray, Seddon, Seddon West"
VIC,3012,melbourne,"Brooklyn, Kingsville, Maidstone, Tottenham, West Footscray"
VIC,3013,melbourne,"Yarraville, Yarraville West"
VIC,3015,melbourne,"Newport, South Kingsville, Spotswood"
VIC,3016,melbourne,Williamstown
VIC,3018,melbourne,"Altona, Seaholme"
VIC,3019,melbourne,"Braybrook, Robinson"
VIC,3020,melbourne,"Albion, Sunshine"
VIC,3021,melbourne,"Albanvale, Kealba, Kings Park, St Albans"
VIC,3022,melbourne,"Ardeer, Deer Park East"
VIC,3023,melbourne,"Burnside, Cairnlea, Caroline Springs, Deer Park"
VIC,3024,melbourne,"Mount Cottrell, Wyndham Vale"
VIC,3025,melbourne,Altona North
VIC,3026,melbourne,Laverton North
VIC,3028,melbourne,"Altona Meadows, Laverton, Seabrook"
VIC,3029,melbourne,"Hoppers Crossing, Tarneit, Truganina"
VIC,3030,melbourne,"Derrimut, Point Cook, Werribee"
VIC,3031,melbourne,"Flemington, Kensington"
VIC,3032,melbourne,"Ascot Vale, Highpoint City, Maribyrnong, Travancore"
VIC,3033,melbourne,East Keilor
VIC,3034,melbourne,Avondale Heights
VIC,3036,melbourne,"Keilor, Keilor North"
VIC,3037,melbourne,"Delahey, Hillside, Sydenham"
VIC,3038,melbourne,"Keilor Downs, Taylors Lakes"
VIC,3039,melbourne,Moonee Ponds
VIC,3040,melbourne,"Aberfeldie, Essendon, Essendon West"
VIC,3041,melbourne,"Essendon North, Strathmore, Strathmore Heights"
VIC,3042,melbourne,"Airport West, Keilor Park, Niddrie"
VIC,3043,melbourne,"Gladstone Park, Gowanbrae, Tullamarine"
VIC,3044,melbourne,"Pascoe Vale, Pascoe Vale South"
VIC,3045,melbourne,melbourne Airport
VIC,3046,melbourne,"Glenroy, Hadfield, Oak Park"
VIC,3047,melbourne,"Broadmeadows, Dallas, Jacana"
VIC,3048,melbourne,"Coolaroo, Meadow Heights"
VIC,3049,melbourne,"Attwood, Westmeadows"
VIC,3050,melbourne,Royal melbourne Hospital
VIC,3051,melbourne,"Hotham Hill, North melbourne"
VIC,3052,melbourne,"melbourne University, Parkville"
VIC,3053,melbourne,"Carlton, Carlton South"
VIC,3054,melbourne,"Carlton North, Princes Hill"
VIC,3055,melbourne,Brunswick West
VIC,3056,melbourne,Brunswick
VIC,3057,melbourne,Brunswick East
VIC,3058,melbourne,"Coburg, Coburg North, Merlynston, Moreland"
VIC,3059,melbourne,Greenvale
VIC,3060,melbourne,Fawkner
VIC,3061,melbourne,Campbellfield
VIC,3062,melbourne,Somerton
VIC,3063,melbourne,"Oaklands Junction, Yuroke"
VIC,3064,melbourne,"Craigieburn, Donnybrook, Kalkallo, Mickleham, Roxburgh Park"
VIC,3065,melbourne,Fitzroy
VIC,3066,melbourne,Collingwood
VIC,3067,melbourne,Abbotsford
VIC,3068,melbourne,"Clifton Hill, Fitzroy North"
VIC,3070,melbourne,Northcote
VIC,3071,melbourne,Thornbury
VIC,3072,melbourne,"Northland Centre, Preston, Preston South, Regent West"
VIC,3073,melbourne,"Reservoir, Keon Park"
VIC,3074,melbourne,Thomastown
VIC,3075,melbourne,Lalor
VIC,3076,melbourne,"Epping, Epping Dc"
VIC,3078,melbourne,"Alphington, Fairfield"
VIC,3079,melbourne,"Ivanhoe, Ivanhoe East"
VIC,3081,melbourne,"Heidelberg Heights, Heidelberg Rgh, Heidelberg West"
VIC,3082,melbourne,Mill Park
VIC,3083,melbourne,"Bundoora, Kingsbury"
VIC,3084,melbourne,"Banyule, Eaglemont, Heidelberg, Rosanna, Viewbank"
VIC,3085,melbourne,"Macleod, Yallambie"
VIC,3087,melbourne,Watsonia
VIC,3088,melbourne,"Briar Hill, Greensborough, Saint Helena"
VIC,3089,melbourne,Diamond Creek
VIC,3090,melbourne,Plenty
VIC,3091,melbourne,Yarrambat
VIC,3093,melbourne,Lower Plenty
VIC,3094,melbourne,Montmorency
VIC,3095,melbourne,"Eltham, Eltham North, Research"
VIC,3096,melbourne,Wattle Glen
VIC,3097,melbourne,"Bend Of Islands, Kangaroo Ground, Watsons Creek"
VIC,3099,melbourne,"Arthurs Creek, Cottles Bridge, Hurstbridge, Nutfield, Strathewen"
VIC,3101,melbourne,Kew
VIC,3102,melbourne,Kew East
VIC,3103,melbourne,Balwyn
VIC,3104,melbourne,Balwyn North
VIC,3105,melbourne,Bulleen
VIC,3106,melbourne,Templestowe
VIC,3107,melbourne,Templestowe Lower
VIC,3108,melbourne,Doncaster
VIC,3109,melbourne,"Doncaster East, Doncaster Heights, Tunstall Square Po"
VIC,3110,melbourne,Nunawading Bc
VIC,3111,melbourne,Donvale
VIC,3113,melbourne,"North Warrandyte, Warrandyte"
VIC,3114,melbourne,Park Orchards
VIC,3115,melbourne,Wonga Park
VIC,3116,melbourne,Chirnside Park
VIC,3121,melbourne,"Burnley, Cremorne, Richmond"
VIC,3122,melbourne,Hawthorn
VIC,3123,melbourne,Hawthorn East
VIC,3124,melbourne,"Camberwell, Camberwell North, Camberwell South, Camberwell West, Middle Camberwell"
VIC,3125,melbourne,"Bennettswood, Burwood"
VIC,3126,melbourne,"Camberwell East, Canterbury"
VIC,3127,melbourne,"Mont Albert, Surrey Hills"
VIC,3128,melbourne,"Box Hill, Box Hill South, Houston, Wattle Park"
VIC,3129,melbourne,"Box Hill North, Kerrimuir, Mont Albert North"
VIC,3130,melbourne,"Blackburn, Blackburn North, Blackburn South, Laburnum"
VIC,3131,melbourne,"Brentford Square, Forest Hill, Nunawading"
VIC,3132,melbourne,"Mitcham, Rangeview"
VIC,3133,melbourne,"Vermont, Vermont South"
VIC,3134,melbourne,"Ringwood, Ringwood North, Warrandyte South, Warranwood"
VIC,3135,melbourne,"Bedford Road, Heathmont, Ringwood East"
VIC,3136,melbourne,"Croydon, Croydon Hills, Croydon North, Croydon South"
VIC,3137,melbourne,"Kilsyth, Kilsyth South"
VIC,3138,melbourne,Mooroolbark
VIC,3139,melbourne,"Hoddles Creek, Launching Place, Seville, Wandin North, Woori Yallock, Yellingbo"
VIC,3140,melbourne,Lilydale
VIC,3141,melbourne,South Yarra
VIC,3142,melbourne,"Hawksburn, Toorak"
VIC,3143,melbourne,"Armadale, Armadale North"
VIC,3144,melbourne,"Kooyong, Malvern"
VIC,3145,melbourne,"Caulfield East, Central Park, Darling, Malvern East"
VIC,3146,melbourne,Glen Iris
VIC,3147,melbourne,"Ashburton, Ashwood"
VIC,3148,melbourne,"Chadstone, Holmesglen"
VIC,3149,melbourne,"Mount Waverley, Syndal"
VIC,3150,melbourne,"Glen Waverley, Wheelers Hill"
VIC,3151,melbourne,"Burwood East, Burwood Heights"
VIC,3152,melbourne,"Knox City Centre, Studfield, Wantirna, Wantirna South"
VIC,3153,melbourne,"Bayswater, Bayswater North"
VIC,3154,melbourne,The Basin
VIC,3155,melbourne,Boronia
VIC,3156,melbourne,"Ferntree Gully, Lysterfield, Lysterfield South, Mountain Gate, Upper Ferntree Gully"
VIC,3158,melbourne,Upwey
VIC,3159,melbourne,"Menzies Creek, Selby"
VIC,3160,melbourne,"Belgrave, Tecoma"
VIC,3161,melbourne,"Caulfield Junction, Caulfield North"
VIC,3162,melbourne,"Caulfield, Caulfield South, Hopetoun Gardens"
VIC,3163,melbourne,"Carnegie, Glen Huntly, Murrumbeena"
VIC,3164,melbourne,Dandenong South
VIC,3165,melbourne,"Bentleigh East, Coatesville"
VIC,3166,melbourne,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East"
VIC,3167,melbourne,Oakleigh South
VIC,3168,melbourne,"Clayton, Notting Hill"
VIC,3169,melbourne,"Clarinda, Clayton South"
VIC,3170,melbourne,Mulgrave
VIC,3171,melbourne,"Sandown Village, Springvale"
VIC,3172,melbourne,"Dingley Village, Springvale South"
VIC,3173,melbourne,Keysborough
VIC,3174,melbourne,"Noble Park, Noble Park North"
VIC,3175,melbourne,"Bangholme, Dandenong, Dandenong North, Dandenong South"
VIC,3176,melbourne,Scoresby Bc
VIC,3177,melbourne,"Doveton, Eumemmerring"
VIC,3178,melbourne,Rowville
VIC,3179,melbourne,Scoresby
VIC,3180,melbourne,Knoxfield
VIC,3181,melbourne,"Prahran, Windsor"
VIC,3182,melbourne,"St Kilda, St Kilda South, St Kilda West"
VIC,3183,melbourne,"Balaclava, St Kilda East"
VIC,3184,melbourne,"Brighton Road, Elwood"
VIC,3185,melbourne,"Elsternwick, Gardenvale, Ripponlea"
VIC,3186,melbourne,"Brighton, Dendy"
VIC,3187,melbourne,"Brighton East, North Road"
VIC,3188,melbourne,"Hampton, Hampton East, Hampton North"
VIC,3189,melbourne,"Moorabbin, Moorabbin East, Wishart"
VIC,3190,melbourne,Highett
VIC,3191,melbourne,Sandringham
VIC,3192,melbourne,"Cheltenham, Cheltenham East, Southland Centre"
VIC,3193,melbourne,"Beaumaris, Black Rock, Cromer"
VIC,3194,melbourne,"Mentone, Moorabbin Airport"
VIC,3195,melbourne,"Aspendale, Aspendale Gardens, Braeside, Mordialloc, Parkdale, Waterways"
VIC,3196,melbourne,"Bonbeach, Chelsea, Chelsea Heights, Edithvale"
VIC,3197,melbourne,"Carrum, Patterson Lakes"
VIC,3198,melbourne,"Belvedere Park, Seaford"
VIC,3199,melbourne,"Frankston, Frankston South, Karingal"
VIC,3200,melbourne,"Frankston North, Pines Forest"
VIC,3201,melbourne,Carrum Downs
VIC,3202,melbourne,Heatherton
VIC,3204,melbourne,"Bentleigh, Mckinnon, Ormond"
VIC,3205,melbourne,"South melbourne, South melbourne Dc"
VIC,3206,melbourne,"Albert Park, Middle Park"
VIC,3207,melbourne,"Garden City, Port melbourne"
VIC,3335,melbourne,Rockbank
VIC,3337,melbourne,"Kurunjang, Melton, Toolern Vale"
VIC,3427,melbourne,Diggers Rest
VIC,3428,melbourne,Bulla
VIC,3429,melbourne,Sunbury
VIC,3752,melbourne,South Morang
VIC,3765,melbourne,Montrose
VIC,3766,melbourne,Kalorama
VIC,3767,melbourne,Mount Dandenong
VIC,3770,melbourne,"Coldstream, Gruyere"
VIC,3775,melbourne,"Christmas Hills, Dixons Creek, Steels Creek, Yarra Glen"
VIC,3777,melbourne,"Healesville, Toolangi"
VIC,3781,melbourne,Cockatoo
VIC,3782,melbourne,"Avonsleigh, Clematis, Emerald, Macclesfield"
VIC,3786,melbourne,Ferny Creek
VIC,3787,melbourne,"Sassafras, Sassafras Gully"
VIC,3788,melbourne,Olinda
VIC,3789,melbourne,Sherbrooke
VIC,3791,melbourne,Kallista
VIC,3792,melbourne,The Patch
VIC,3793,melbourne,Monbulk
VIC,3795,melbourne,Silvan
VIC,3796,melbourne,Mount Evelyn
VIC,3802,melbourne,Endeavour Hills
VIC,3803,melbourne,Hallam
VIC,3804,melbourne,"Narre Warren East, Narre Warren North"
VIC,3805,melbourne,"Fountain Gate, Narre Warren, Narre Warren South"
VIC,3806,melbourne,"Berwick, Harkaway"
VIC,3807,melbourne,"Beaconsfield, Guys Hill"
VIC,3808,melbourne,Beaconsfield Upper
VIC,3809,melbourne,Officer
VIC,3810,melbourne,"Pakenham, Pakenham Upper"
VIC,3910,melbourne,Langwarrin
VIC,3911,melbourne,Baxter
VIC,3912,melbourne,"Pearcedale, Somerville"
VIC,3913,melbourne,Tyabb
VIC,3915,melbourne,"Hastings, Tuerong"
VIC,3916,melbourne,"Merricks, Shoreham"
VIC,3918,melbourne,Bittern
VIC,3919,melbourne,Crib Point
VIC,3920,melbourne,Hmas Cerberus
VIC,3926,melbourne,"Balnarring, Merricks Beach, Merricks North"
VIC,3927,melbourne,Somers
VIC,3928,melbourne,Main Ridge
VIC,3929,melbourne,Flinders
VIC,3930,melbourne,"Kunyung, Mount Eliza"
VIC,3931,melbourne,Mornington
VIC,3933,melbourne,Moorooduc
VIC,3934,melbourne,Mount Martha
VIC,3936,melbourne,"Arthurs Seat, Dromana, Safety Beach"
VIC,3937,melbourne,"Red Hill, Red Hill South"
VIC,3938,melbourne,Mccrae
VIC,3939,melbourne,"Fingal, Rosebud"
VIC,3940,melbourne,Rosebud West
VIC,3941,melbourne,"Rye, St Andrews Beach, Tootgarook"
VIC,3942,melbourne,Blairgowrie
VIC,3943,melbourne,Sorrento
VIC,3944,melbourne,Portsea
VIC,3975,melbourne,"Lynbrook, Lyndhurst"
VIC,3976,melbourne,Hampton Park
VIC,3977,melbourne,"Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows, Five Ways, Junction Village, Skye"
VIC,8001,melbourne,melbourne
VIC,8002,melbourne,East melbourne
VIC,8003,melbourne,Collins Street East
VIC,8004,melbourne,St Kilda Road
VIC,8005,melbourne,World Trade Centre
VIC,8006,melbourne,melbourne
VIC,8007,melbourne,Collins Street West
VIC,8008,melbourne,St Kilda Road Central
VIC,8009,melbourne,Flinders Lane
VIC,8010,melbourne,Law Courts
VIC,3004,melbourne,St Kilda Road melbourne
VIC,3027,melbourne,Williams Landing