"Postcode","Include","Confirmed","Population","Cases.per.100K","Median.age","Median.household.income"
"3000","Yes",90,37975,237,26,955
"3002","Yes",7,4964,141.02,38,2285
"3003","Yes",34,5515,616.5,30,1766
"3004","Yes",34,9307,365.32,35,2006
"3005","No",0,525,0,33,2182
"3006","Yes",46,18808,244.58,30,1852
"3008","Yes",32,10437,306.6,30,1858
"3010","No",0,1593,0,20,3249
"3011","Yes",99,21462,461.28,33,1441
"3012","Yes",129,26298,490.53,33,1483
"3013","Yes",38,14965,253.93,36,2047
"3015","Yes",34,17472,194.6,37,2071
"3016","Yes",30,15560,192.8,42,2008
"3018","Yes",28,12689,220.66,42,1440
"3019","Yes",107,9195,1163.68,32,1051
"3020","Yes",300,44783,669.9,35,1128
"3021","Yes",407,54191,751.05,35,1050
"3022","No",93,3103,2997.1,35,1156
"3023","Yes",329,63972,514.29,33,1586
"3024","Yes",151,23849,633.15,31,1505
"3025","Yes",43,12152,353.85,38,1240
"3026","No",53,73,72602.74,52,630
"3027","Yes",45,6646,677.1,31,2220
"3028","Yes",80,29201,273.96,36,1387
"3029","Yes",830,93950,883.45,31,1578
"3030","Yes",456,100313,454.58,33,1676
"3031","Yes",329,18531,1775.4,33,1626
"3032","Yes",135,29450,458.4,33,1720
"3033","Yes",35,14514,241.15,43,1484
"3034","Yes",68,11633,584.54,44,1318
"3036","Yes",31,5925,523.21,44,1743
"3037","Yes",255,51155,498.48,33,1684
"3038","Yes",88,27262,322.79,41,1654
"3039","Yes",66,14250,463.16,37,1861
"3040","Yes",88,25936,339.3,37,1825
"3041","Yes",28,12412,225.59,39,1905
"3042","Yes",48,15766,304.45,40,1461
"3043","Yes",48,17716,270.94,40,1291
"3044","Yes",102,27116,376.16,37,1607
"3045","No",0,104,0,33,0
"3046","Yes",173,34063,507.88,35,1296
"3047","Yes",166,20903,794.14,31,922
"3048","Yes",87,18029,482.56,32,1017
"3049","Yes",28,9262,302.31,39,1513
"3050","No",1,117,854.7,36,0
"3051","Yes",218,14940,1459.17,28,1236
"3052","Yes",30,5694,526.87,29,1605
"3053","Yes",104,18535,561.1,24,572
"3054","Yes",21,8428,249.17,33,1991
"3055","Yes",41,14159,289.57,34,1423
"3056","Yes",70,24473,286.03,33,1724
"3057","Yes",34,11504,295.55,32,1726
"3058","Yes",119,33778,352.3,36,1608
"3059","Yes",77,15466,497.87,34,2030
"3060","Yes",162,14043,1153.6,34,1086
"3061","Yes",14,5056,276.9,36,921
"3062","No",0,0,0,0,0
"3063","No",3,573,523.56,42,2071
"3064","Yes",671,75457,889.25,30,1480
"3065","Yes",75,10445,718.05,33,1715
"3066","Yes",86,8513,1010.22,32,1712
"3067","Yes",18,8197,219.59,32,2001
"3068","Yes",45,18662,241.13,36,2039
"3070","Yes",62,24561,252.43,36,1868
"3071","Yes",33,18568,177.73,36,1535
"3072","Yes",85,32851,258.74,36,1427
"3073","Yes",190,50474,376.43,37,1197
"3074","Yes",115,20523,560.35,38,1018
"3075","Yes",82,22594,362.93,37,1112
"3076","Yes",219,32395,676.03,33,1409
"3078","Yes",17,11638,146.07,36,1856
"3079","Yes",41,15988,256.44,40,2029
"3081","Yes",153,13424,1139.75,35,1177
"3082","Yes",89,29710,299.56,37,1500
"3083","Yes",88,31526,279.13,34,1305
"3084","Yes",61,25517,239.06,41,1813
"3085","Yes",27,13886,194.44,38,1697
"3087","Yes",9,9031,99.66,39,1543
"3088","Yes",51,26892,189.65,40,1739
"3089","Yes",17,11733,144.89,38,2089
"3090","No",43,2364,1818.95,39,2588
"3091","Yes",0,1588,0,43,2147
"3093","Yes",9,3891,231.3,43,1822
"3094","Yes",7,8960,78.12,40,1742
"3095","Yes",29,27771,104.43,41,2150
"3096","Yes",3,1961,152.98,42,1927
"3097","No",2,1443,138.6,43,2255
"3099","Yes",6,4878,123,42,1831
"3101","Yes",37,24605,150.38,39,2206
"3102","Yes",8,6635,120.57,40,2149
"3103","Yes",9,15343,58.66,43,1731
"3104","Yes",23,20406,112.71,41,1996
"3105","Yes",9,10873,82.77,45,1501
"3106","Yes",24,16618,144.42,45,1916
"3107","Yes",8,13552,59.03,44,1591
"3108","Yes",26,20826,124.84,42,1366
"3109","Yes",41,28360,144.57,41,1504
"3111","Yes",15,12347,121.49,44,1783
"3113","Yes",7,8457,82.77,42,2252
"3114","Yes",6,3822,156.99,43,2660
"3115","Yes",5,3796,131.72,43,2452
"3116","Yes",17,9872,172.2,39,1728
"3121","Yes",93,30499,304.93,33,2015
"3122","Yes",47,23511,199.91,32,1813
"3123","Yes",21,14321,146.64,34,1976
"3124","Yes",21,22094,95.05,41,2195
"3125","Yes",31,15019,206.41,30,1209
"3126","Yes",3,8056,37.24,44,2440
"3127","Yes",8,18445,43.37,40,2192
"3128","Yes",34,19828,171.47,33,1200
"3129","Yes",8,17376,46.04,38,1541
"3130","Yes",17,32174,52.84,40,1636
"3131","Yes",18,22504,79.99,39,1428
"3132","Yes",7,16148,43.35,38,1650
"3133","Yes",21,22125,94.92,42,1664
"3134","Yes",21,32781,64.06,38,1628
"3135","Yes",10,19956,50.11,39,1606
"3136","Yes",41,44369,92.41,38,1488
"3137","Yes",69,13871,497.44,39,1433
"3138","Yes",23,21967,104.7,36,1594
"3139","Yes",8,13718,58.32,38,1464
"3140","Yes",20,16531,120.98,39,1448
"3141","Yes",49,25147,194.85,32,1813
"3142","Yes",24,12909,185.92,45,2311
"3143","Yes",26,9054,287.17,37,1990
"3144","Yes",18,10886,165.35,41,2306
"3145","Yes",28,23295,120.2,35,1884
"3146","Yes",22,25255,87.11,37,2195
"3147","Yes",21,14637,143.47,38,1844
"3148","Yes",16,8641,185.16,33,1531
"3149","Yes",25,33611,74.38,41,1643
"3150","Yes",58,60079,96.54,42,1591
"3151","Yes",7,10273,68.14,40,1373
"3152","Yes",23,33092,69.5,42,1602
"3153","Yes",9,20554,43.79,37,1351
"3154","Yes",1,4419,22.63,39,1680
"3155","Yes",10,22195,45.06,38,1318
"3156","Yes",15,37464,40.04,39,1603
"3158","Yes",3,6652,45.1,40,1773
"3159","Yes",3,2648,113.29,40,1849
"3160","Yes",7,9014,77.66,39,1688
"3161","Yes",18,15269,117.89,37,1990
"3162","Yes",9,17448,51.58,41,1911
"3163","Yes",29,32353,89.64,34,1524
"3165","Yes",19,27635,68.75,40,1735
"3166","Yes",17,23757,71.56,35,1584
"3167","Yes",15,9261,161.97,40,1476
"3168","Yes",20,20197,99.02,27,1069
"3169","Yes",18,20122,89.45,36,1304
"3170","Yes",20,19368,103.26,39,1572
"3171","Yes",14,21714,64.47,34,1079
"3172","Yes",13,23089,56.3,39,1370
"3173","Yes",32,25785,124.1,35,1585
"3174","Yes",25,38461,65,35,1127
"3175","Yes",191,53297,358.37,34,1074
"3177","Yes",32,11306,283.04,34,973
"3178","Yes",30,33672,89.09,38,1892
"3179","Yes",9,6022,149.45,38,1615
"3180","Yes",3,7462,40.2,39,1478
"3181","Yes",61,20260,301.09,33,1816
"3182","Yes",45,23391,192.38,34,1623
"3183","Yes",34,18497,183.81,33,1680
"3184","Yes",10,15543,64.34,35,1892
"3185","Yes",24,12929,185.63,36,1830
"3186","Yes",48,23253,206.42,45,2410
"3187","Yes",12,15998,75.01,44,2065
"3188","Yes",8,18083,44.24,42,2010
"3189","Yes",5,5895,84.82,39,1474
"3190","Yes",56,10454,535.68,39,1613
"3191","Yes",7,10241,68.35,44,2124
"3192","Yes",20,22291,89.72,40,1502
"3193","Yes",16,19508,82.02,46,2179
"3194","Yes",6,12965,46.28,41,1521
"3195","Yes",29,35869,80.85,40,1819
"3196","Yes",51,25327,201.37,40,1456
"3197","Yes",8,11548,69.28,43,1547
"3198","Yes",11,16463,66.82,40,1208
"3199","Yes",48,54298,88.4,41,1226
"3200","Yes",16,5762,277.68,39,888
"3201","Yes",19,20711,91.74,36,1339
"3202","Yes",0,2907,0,39,1816
"3204","Yes",36,30635,117.51,38,1801
"3205","Yes",14,10920,128.21,36,1842
"3206","Yes",17,10359,164.11,43,2301
"3207","Yes",35,16175,216.38,40,2190
"3335","Yes",27,5856,461.07,31,1728
"3337","Yes",161,36454,441.65,33,1296
"3427","Yes",11,2763,398.12,37,1440
"3428","No",0,675,0,46,1812
"3429","Yes",84,36297,231.42,37,1573
"3752","Yes",77,24060,320.03,34,1739
"3765","Yes",14,6761,207.07,41,1707
"3766","No",1,1239,80.71,42,1553
"3767","No",2,1251,159.87,46,1603
"3770","Yes",1,3218,31.08,40,1646
"3775","Yes",3,3861,77.7,41,1543
"3777","Yes",10,10751,93.01,44,1226
"3781","Yes",1,4477,22.34,36,1573
"3782","Yes",2,7827,25.55,42,1701
"3786","Yes",2,1518,131.75,44,1971
"3787","No",0,1062,0,43,2005
"3788","Yes",0,1738,0,44,1518
"3789","No",0,265,0,48,1547
"3791","No",1,1437,69.59,44,1734
"3792","No",0,1065,0,44,1583
"3793","Yes",1,3577,27.96,42,1377
"3795","No",0,1246,0,42,1698
"3796","Yes",3,9702,30.92,37,1655
"3802","Yes",57,24298,234.59,37,1454
"3803","Yes",57,10855,525.1,35,1301
"3804","Yes",8,8094,98.84,41,2165
"3805","Yes",119,56933,209.02,34,1624
"3806","Yes",50,48520,103.05,36,1752
"3807","Yes",10,7097,140.9,39,1928
"3808","Yes",2,3033,65.94,41,2144
"3809","Yes",32,7210,443.83,30,1864
"3810","Yes",49,47894,102.31,32,1383
"3910","Yes",24,22588,106.25,37,1579
"3911","Yes",2,3414,58.58,40,1492
"3912","Yes",11,15157,72.57,40,1485
"3913","Yes",1,3338,29.96,41,1523
"3915","Yes",2,9960,20.08,41,973
"3916","No",0,955,0,56,1708
"3918","Yes",2,3705,53.98,41,1449
"3919","Yes",2,3183,62.83,38,1167
"3920","No",2,1040,192.31,22,1952
"3926","Yes",0,3242,0,48,1533
"3927","Yes",4,1667,239.95,52,1468
"3928","No",1,416,240.38,52,1724
"3929","No",7,905,773.48,58,1632
"3930","Yes",9,17888,50.31,44,2030
"3931","Yes",14,23989,58.36,47,1203
"3933","No",2,1098,182.15,45,2028
"3934","Yes",13,18548,70.09,43,1707
"3936","Yes",4,11024,36.28,50,1157
"3937","Yes",0,1524,0,50,1774
"3938","Yes",0,2823,0,54,1241
"3939","Yes",5,14524,34.43,49,973
"3940","Yes",3,4930,60.85,59,786
"3941","Yes",4,12172,32.86,46,1067
"3942","Yes",4,2313,172.94,57,1060
"3943","Yes",7,1592,439.7,65,1136
"3944","No",5,510,980.39,67,1863
"3975","Yes",30,15248,196.75,32,1947
"3976","Yes",59,25530,231.1,33,1307
"3977","Yes",133,93326,142.51,32,1560
