Postcode,Suburb
3483,"Ballapur, Birchip, Birchip West, Curyo, Jil Jil, Karyrie, Kinnabulla, Marlbed, Narraport, Whirily"
3484,-
3485,"Banyan, Watchupga, Willangie, Woomelang"
3487,Lascelles
3488,"Speed, Turriff, Turriff East"
3489,Tempy
3490,"Big Desert, Boinka, Kulwin, Mittyack, Murray-Sunset, Ouyen, Torrita, Tutye"
3491,Patchewollock
3494,"Carwarp, Colignan, Iraak, Nangiloc"
3495,-
3496,"Cardross, Cullulleraine, Lindsay Point, Meringur, Merrinee, Neds Corner, Red Cliffs, Sunnycliffs, Werrimull"
3498,Irymple
3500,"Mildura, Mildura West"
3501,"Hattah, Koorlong, Mildura Centre Plaza, Mildura South, Nichols Point"
3502,-
3505,"Birdwoodton, Cabarita, Merbein, Merbein South, Merbein West, Wargan, Yelta"
3506,Cowangie
3507,Walpeup
3509,"Linga, Underbool"
3510,-
3512,"Carina, Murrayville, Panitya"
3515,"Marong, Shelbourne, Wilsons Hill"
3516,"Bridgewater, Bridgewater North, Bridgewater On Loddon, Derby, Leichardt, Yarraberb"
3517,"Bears Lagoon, Brenanah, Glenalbyn, Inglewood, Jarklin, Kingower, Kurting, Powlett Plains, Rheola, Salisbury West, Serpentine"
3518,"Berrimal, Borung, Fentons Creek, Fernihurst, Fiery Flat, Kurraca, Kurraca West, Mysia, Nine Mile, Richmond Plains, Skinners Flat, Wedderburn, Wedderburn Junction, Wehla, Woolshed Flat, Woosang"
3520,"Kinypanial, Korong Vale"
3521,Pyalong
3522,"Glenhope East, Tooborac"
3523,"Argyle, Costerfield, Derrinal, Heathcote, Heathcote South, Knowsley, Ladys Pass, Moormbool West, Mount Camel, Redcastle"
3525,"Barrakee, Buckrabanyule, Charlton, Chirrip, Granite Flat, Lake Marmal, Nareewillock, Terrappee, Wooroonook, Wychitella, Wychitella North, Yeungroon, Yeungroon East"
3527,"Bunguluke, Dumosa, Glenloth, Glenloth East, Jeruk, Ninyeunook, Teddywaddy, Teddywaddy West, Thalia, Towaninny, Towaninny South, Wycheproof, Wycheproof South"
3529,"Kalpienung, Nullawil"
3530,"Culgoa, Sutton, Wangie, Warne"
3531,"Berriwillock, Boigbeat"
3533,"Bimbourie, Lake Tyrrell, Myall, Nandaly, Ninda, Nyarrin, Pier Milan, Sea Lake, Straten, Tyenna, Tyrrell, Tyrrell Downs"
3536,-
3537,"Barraport, Barraport West, Boort, Canary Island, Catumnal, Gredgwin, Leaghur, Minmindie, Yando"
3538,-
3539,-
3540,"Cannie, Oakvale, Quambatook"
3542,"Cokum, Lalbert, Tittybong"
3543,-
3544,"Chinangin, Gowanford, Murnungin, Springfield, Ultima, Ultima East, Waitchie"
3546,"Bolton, Chinkapook, Cocamba, Gerahmin, Manangatang, Turoar, Winnambool"
3549,"Annuello, Bannerton, Happy Valley, Liparoo, Robinvale, Robinvale Irrigation District Section B, Robinvale Irrigation District Section C, Robinvale Irrigation District Section D, Robinvale Irrigation District Section E, Tol Tol, Wandown, Wemen"
3550,"Bendigo, Bendigo South, East Bendigo, Flora Hill, Ironbark, Kennington, Long Gully, North Bendigo, Quarry Hill, Sandhurst East, Spring Gully, Strathdale, West Bendigo, White Hills"
3551,"Arnold, Arnold West, Ascot, Axe Creek, Axedale, Bagshot, Bagshot North, Bendigo Forward, Cornella, Creek View, Emu Creek, Eppalock, Epsom, Huntly, Huntly North, Junortoun, Kimbolton, Lake Eppalock, Llanelly, Lockwood, Lockwood South, Longlea, Maiden Gully, Mandurang, Mandurang South, Murphys Creek, Myola, Myrtle Creek, Newbridge, Painswick, Sedgwick, Strathfieldsaye, Tarnagulla, Toolleen, Waanyarra, Wellsford, Woodstock On Loddon"
3552,-
3554,-
3555,"Big Hill, Golden Gully, Golden Square, Kangaroo Flat, Lansell Plaza"
3556,"California Gully, Campbells Forest, Eaglehawk, Eaglehawk North, Jackass Flat, Myers Flat, Sailors Gully, Sebastian, Whipstick, Woodvale"
3557,"Barnadown, Fosterville, Goornong, Muskerry"
3558,"Burnewang, Corop West, Elmore, Hunter, Runnymede"
3559,"Avonmore, Burramboot, Colbinabbin, Corop, Gobarup"
3560,-
3561,"Ballendella, Bamawm, Bonn, Diggora, Fairy Dell, Nanneella, Rochester, Timmering"
3562,Torrumbarry
3563,Lockington
3564,"Bamawm Extension, Echuca, Echuca South, Echuca Village, Echuca West, Kanyapella, Patho, Roslynmead, Wharparilla"
3565,Kotta
3566,Gunbower
3567,"Horfield, Leitchville"
3568,"Burkes Bridge, Cohuna, Cullen, Daltons Bridge, Gannawarra, Keely, Macorna North, Mcmillans, Mead, Mincha West, Wee Wee Rup"
3569,-
3570,"Auchmore, Drummartin, Kamarooka, Neilborough, Raywood"
3571,"Dingee, Kamarooka North, Pompapiel, Tandarra"
3572,"Milloo, Piavella, Prairie, Tennyson"
3573,"Calivil, Mitiamo, Pine Grove, Terrick Terrick East"
3574,-
3575,"Gladfield, Jungaburra, Loddon Vale, Mincha, Mologa, Pyramid Hill, Sylvaterre, Terrick Terrick, Yarrawalla"
3576,Durham Ox
3578,-
3579,"Appin, Appin South, Bael Bael, Beauchamp, Benjeroop, Budgerum East, Capels Crossing, Dingwall, Fairley, Gonn Crossing, Kerang, Kerang East, Koroop, Lake Meran, Macorna, Meering West, Milnes Bridge, Murrabit, Murrabit West, Myall, Mystic Park, Normanville, Pine View, Reedy Lake, Sandhill Lake, Teal Point, Tragowel, Wandella, Westby"
3580,Koondrook
3581,Lake Charm
3583,Tresco
3584,"Lake Boga, Tresco West"
3585,"Castle Donnington, Chillingollah, Fish Point, Goschen, Kunat, Meatian, Nowie, Nyrraby, Pira, Polisbet, Speewa, Swan Hill, Swan Hill West, Winlaton"
3586,"Bulga, Murrawee, Murraydale, Pental Island, Tyntynder, Tyntynder South"
3587,-
3588,Woorinen South
3589,"Woorinen, Woorinen North"
3590,Beverford
3591,Vinifera
3594,Nyah
3595,Nyah West
3596,"Miralie, Towan, Wood Wood"
3597,"Kenley, Kooloonong, Lake Powell, Narrung, Natya, Piangil"
3599,Boundary Bend
3605,-
3607,Tabilk
3608,"Bailieston, Goulburn Weir, Graytown, Kirwans Bridge, Mitchellstown, Nagambie, Wahring, Wirrate"
3610,"Dhurringile, Moorilim, Murchison, Murchison East, Murchison North"
3612,"Moora, Rushworth, Wanalta, Waranga Shores, Whroo"
3613,-
3614,"Toolamba, Toolamba West"
3616,"Cooma, Gillieston, Girgarre East, Harston, Mooroopna North West, Tatura, Tatura East, Waranga"
3617,Byrneside
3618,Merrigum
3619,-
3620,"Kyabram, Kyabram South, Lancaster, St Germains, Wyuna, Wyuna East"
3621,"Kyvalley, Tongala, Yambuna"
3622,"Koyuga, Strathallan"
3623,"Carag Carag, Stanhope, Stanhope South"
3624,Girgarre
3629,"Ardmona, Coomboona, Mooroopna, Mooroopna North, Undera"
3630,"Branditt, Caniambo, Colliver, Dunkirk, Shepparton, Shepparton South"
3631,"Arcadia, Arcadia South, Cosgrove, Cosgrove South, Grahamvale, Karramomus, Kialla, Kialla East, Kialla West, Lemnos, Orrvale, Pine Lodge, Shepparton East, Shepparton North"
3632,-
3633,Congupna
3634,"Bunbartha, Katandra, Katandra West, Marionvale, Marungi, Tallygaroopna, Zeerust"
3635,"Kaarimba, Mundoona, Wunghnu"
3636,"Drumanure, Invergordon, Naring, Numurkah"
3637,"Waaia, Yalca"
3638,"Kotupna, Nathalia, Yielima"
3639,"Barmah, Lower Moira, Picola, Picola West"
3640,Katunga
3641,"Bearii, Mywee, Strathmerton, Ulupna"
3643,-
3644,"Cobram, Cobram East, Koonoomoo, Muckatah, Yarroweyah"
3646,"Dookie, Mount Major, Nalinga, Waggarandall, Yabba North, Yabba South, Youanmite"
3647,Dookie College
3649,"Katamatite, Katamatite East"
3655,-
3658,"Broadford, Clonbinane, Hazeldene, Reedy Creek, Strath Creek, Sugarloaf Creek, Sunday Creek, Tyaak, Waterford Park"
3659,Tallarook
3660,"Caveat, Dropmore, Highlands, Hilldene, Kerrisdale, Northwood, Seymour, Seymour South, Trawool, Whiteheads Creek"
3661,-
3662,Puckapunyal
3663,Mangalore
3664,"Avenel, Upton Hill"
3665,"Locksley, Longwood"
3666,"Balmattum, Creightons Creek, Euroa, Gooram, Kelvin View, Kithbrook, Longwood East, Miepoll, Moglonemby, Molka, Pranjip, Riggs Creek, Ruffy, Sheans Creek, Strathbogie, Tarcombe"
3669,"Boho, Boho South, Creek Junction, Earlston, Gowangardie, Koonda, Marraweeney, Tamleugh, Tamleugh North, Upotipotpon, Violet Town"
3670,"Baddaginnie, Tarnook, Warrenbayne"
3671,-
3672,Benalla
3673,"Broken Creek, Goomalibee, Lima, Lima East, Lima South, Lurg, Molyullah, Moorngag, Samaria, Swanpool, Tatong, Upper Lurg, Upper Ryans Creek, Winton, Winton North"
3674,-
3675,"Boweya, Boweya North, Glenrowan, Glenrowan West, Greta, Greta South, Greta West, Hansonville, Mount Bruno, Taminick"
3676,-
3677,"Wangaratta, Yarrunga"
3678,"Bobinawarrah, Boorhaman, Boorhaman East, Bowser, Byawatha, Carboor, Cheshunt, Cheshunt South, Docker, Dockers Plains, East Wangaratta, Edi, Edi Upper, Everton, Everton Upper, Killawarra, King Valley, Laceby, Londrigan, Markwood, Meadow Creek, Milawa, North Wangaratta, Oxley, Oxley Flats, Peechelba, Peechelba East, Rose River, Tarrawingee, Wabonga, Waldara, Wangandary, Wangaratta Forward, Wangaratta South, Whitlands"
3682,"Boralma, Lilliput, Norong, Springhurst"
3683,"Chiltern, Chiltern Valley, Cornishtown"
3685,"Boorhaman North, Brimin, Browns Plains, Carlyle, Gooramadda, Great Southern, Prentice North, Rutherglen"
3687,Wahgunyah
3688,"Barnawartha, Indigo Valley"
3689,-
3690,"West Wodonga, Wodonga, Wodonga Plaza"
3691,"Allans Flat, Bandiana, Baranduda, Barnawartha North, Bellbridge, Berringama, Bethanga, Bonegilla, Bungil, Castle Creek, Coral Bank, Dederang, Ebden, Gateway Island, Glen Creek, Gundowring, Huon Creek, Kancoona, Kergunyah, Kergunyah South, Kiewa, Killara, Leneva, Lucyvale, Mongans Bridge, Osbornes Flat, Running Creek, Staghorn Flat, Talgarno, Tangambalanga, Thologolong, Upper Gundowring, Wodonga Forward"
3693,-
3694,-
3695,"Charleroi, Huon, Sandy Creek"
3697,Tawonga
3698,Tawonga South
3699,"Bogong, Falls Creek, Mount Beauty, Nelse"
3700,"Bullioh, Georges Creek, Jarvis Creek, Tallangatta, Tallangatta East"
3701,"Dartmouth, Eskdale, Granya, Mitta Mitta, Old Tallangatta, Shelley, Tallandoon, Tallangatta South, Tallangatta Valley"
3704,Koetong
3705,Cudgewa
3707,"Biggara, Colac Colac, Corryong, Nariel Valley, Thowgla Valley, Tom Groggin, Towong, Towong Upper"
3708,Tintaldra
3709,"Burrowye, Guys Forest, Mount Alfred, Pine Mountain, Walwa"
3711,Buxton
3712,"Rubicon, Thornton"
3713,"Eildon, Lake Eildon, Taylor Bay"
3714,"Acheron, Alexandra, Cathkin, Crystal Creek, Devils River, Fawcett, Koriella, Maintongoon, Taggerty, Whanregarwen"
3715,"Ancona, Merton, Woodfield"
3717,"Flowerdale, Ghin Ghin, Glenburn, Homewood, Killingworth, Limestone, Murrindindi, Yea"
3718,Molesworth
3719,"Gobur, Kanumbra, Terip Terip, Yarck"
3720,Bonnie Doon
3721,-
3722,"Barwite, Mansfield, Mirimbah"
3723,"Archerton, Barjarg, Boorolite, Bridge Creek, Delatite, Enochs Point, Gaffneys Creek, Goughs Bay, Howes Creek, Howqua, Howqua Hills, Howqua Inlet, Jamieson, Kevington, Knockwood, Macs Cove, Maindample, Matlock, Merrijig, Mount Buller, Mountain Bay, Piries, Sawmill Settlement, Tolmie, Woods Point"
3724,-
3725,"Boxwood, Chesney Vale, Goorambat, Major Plains, Stewarton"
3726,"Bungeet, Bungeet West, Devenish, Thoona"
3727,"Almonds, Lake Rowan, Pelluebla, St James, Yundool"
3728,"Boomahnoomoonah, Tungamah, Wilby, Youarang"
3730,"Bathumi, Boosey, Bundalong, Bundalong South, Burramine, Burramine South, Esmond, Telford, Yarrawonga, Yarrawonga South"
3732,"Moyhu, Myrrhee"
3733,Whitfield
3734,-
3735,"Bowmans Forest, Whorouly, Whorouly East, Whorouly South"
3736,-
3737,"Abbeyard, Barwidgee, Buffalo River, Dandongadale, Gapsted, Havilah, Merriang, Merriang South, Mudgegonga, Myrtleford, Nug Nug, Rosewhite, Selwyn, Wonnangatta"
3738,Ovens
3739,Eurobin
3740,"Buckland, Mount Buffalo, Porepunkah"
3741,"Bright, Freeburgh, Germantown, Harrietville, Hotham Heights, Mount Hotham, Smoko"
3744,Wandiligong
3746,Eldorado
3747,"Beechworth, Murmungee, Stanley, Wooragee"
3749,"Bruarong, Yackandandah"
3750,Wollert
3751,Woodstock
3752,South Morang
3753,Beveridge
3754,"Doreen, Mernda"
3755,Yan Yean
3756,"Chintin, Darraweit Guim, Upper Plenty, Wallan"
3757,"Eden Park, Humevale, Kinglake Central, Kinglake West, Pheasant Creek, Whittlesea"
3758,"Heathcote Junction, Wandong"
3759,Panton Hill
3760,Smiths Gully
3761,St Andrews
3762,Bylands
3763,Kinglake
3764,"Forbes, Glenaroua, High Camp, Kilmore, Kilmore East, Moranding, Tantaraboo, Willowmavin"
3765,Montrose
3766,Kalorama
3767,Mount Dandenong
3770,"Coldstream, Gruyere, Yering"
3775,"Christmas Hills, Dixons Creek, Steels Creek, Tarrawarra, Yarra Glen"
3777,"Badger Creek, Castella, Chum Creek, Healesville, Healesville Main Street, Mount Toolebewong, Toolangi"
3778,"Fernshaw, Narbethong"
3779,"Cambarville, Marysville"
3780,-
3781,"Cockatoo, Mount Burnett, Nangana"
3782,"Avonsleigh, Clematis, Emerald, Macclesfield"
3783,Gembrook
3785,Tremont
3786,Ferny Creek
3787,"Sassafras, Sassafras Gully"
3788,Olinda
3789,Sherbrooke
3791,Kallista
3792,The Patch
3793,Monbulk
3795,Silvan
3796,Mount Evelyn
3797,"Gilderoy, Gladysdale, Powelltown, Three Bridges, Yarra Junction"
3798,-
3799,"Big Pats Creek, East Warburton, Mcmahons Creek, Millgrove, Reefton, Warburton, Wesburn"
3800,-
3801,-
3802,Endeavour Hills
3803,Hallam
3804,"Narre Warren East, Narre Warren North"
3805,"Fountain Gate, Narre Warren, Narre Warren South"
3806,"Berwick, Harkaway"
3807,"Beaconsfield, Guys Hill"
3808,"Beaconsfield Upper, Dewhurst"
3809,"Officer, Officer South"
3810,"Pakenham, Pakenham South, Pakenham Upper, Rythdale"
3812,"Maryknoll, Nar Nar Goon, Nar Nar Goon North"
3813,"Tynong, Tynong North"
3814,"Cora Lynn, Garfield, Garfield North, Vervale"
3815,"Bunyip, Bunyip North, Iona, Tonimbuk"
3816,"Labertouche, Longwarry, Longwarry North, Modella"
3818,"Athlone, Drouin, Drouin East, Drouin South, Drouin West, Hallora, Jindivick, Ripplebrook"
3820,"Bona Vista, Lillico, Warragul"
3821,"Brandy Creek, Bravington, Buln Buln, Buln Buln East, Crossover, Ellinbank, Ferndale, Lardner, Nilma, Nilma North, Rokeby, Seaview, Shady Creek, Tetoora Road, Torwood, Warragul South, Warragul West"
3822,"Cloverlea, Darnum, Gainsborough"
3823,"Allambee, Yarragon, Yarragon South"
3824,"Childers, Narracan, Thorpdale South, Trafalgar, Trafalgar East, Trafalgar South"
3825,"Aberfeldy, Amor, Boola, Caringal, Coalville, Coopers Creek, Erica, Fumina, Fumina South, Hernes Oak, Hill End, Jacob Creek, Jericho, Moe, Moe South, Moondarra, Newborough, Rawson, Tanjil, Tanjil South, Thalloo, Thomson, Toombon, Walhalla, Walhalla East, Westbury, Willow Grove, Yallourn, Yallourn North"
3826,-
3828,-
3830,-
3831,"Neerim, Neerim East, Neerim South"
3832,"Nayook, Neerim Junction, Neerim North"
3833,"Ada, Baw Baw, Baw Baw Village, Gentle Annie, Icy Creek, Loch Valley, Noojee, Piedmont, Tanjil Bren, Toorongo, Vesper"
3835,Thorpdale
3837,-
3838,-
3839,-
3840,"Driffield, Hazelwood, Hazelwood North, Hazelwood South, Jeeralang, Jeeralang Junction, Maryvale, Morwell"
3841,-
3842,Churchill
3844,"Blackwarry, Callignee, Callignee North, Callignee South, Carrajung, Carrajung Lower, Carrajung South, Flynn, Flynns Creek, Koornalla, Loy Yang, Mount Tassie, Traralgon, Traralgon East, Traralgon South, Tyers"
3845,-
3846,-
3847,"Hiamdale, Nambrok, Rosedale, Willung, Willung South"
3850,"Sale, Wurruk"
3851,"Airly, Bundalaguah, Clydebank, Cobains, Darriman, Dutson, Dutson Downs, Flamingo Beach, Fulham, Giffard, Giffard West, Glomar Beach, Golden Beach, Kilmany, Lake Wellington, Loch Sport, Longford, Montgomery, Myrtlebank, Paradise Beach, Pearsondale, Seacombe, Seaspray, Somerton Park, Stradbroke, The Heart, The Honeysuckles"
3852,"East Sale, Sale East Raaf"
3853,-
3854,"Glengarry, Glengarry North, Glengarry West"
3855,-
3856,Toongabbie
3857,Cowwarr
3858,"Arbuckle, Billabong, Buragwonduc, Crookayan, Dawson, Denison, Gillum, Glenfalloch, Glenmaggie, Heyfield, Howitt Plains, Licola, Licola North, Reynard, Sargood, Seaton, Tamboritha, Winnindoo, Worrowing, Yangoura"
3859,"Maffra West Upper, Newry, Tinamba, Tinamba West"
3860,"Boisdale, Briagolong, Bushy Park, Coongulla, Koorool, Maffra, Monomak, Moroka, Nap Nap Marra, Riverslea, Toolome, Valencia Creek, Woolenook, Wrathung, Wrixon"
3861,-
3862,"Budgee Budgee, Cobbannah, Cowa, Crooked River, Dargo, Hawkhurst, Hollands Landing, Llowalong, Meerlieu, Miowera, Moornapa, Munro, Perry Bridge, Stockdale, Stratford, Waterford, Wongungarra"
3863,-
3864,"Fernbank, Glenaladale"
3865,Lindenow
3866,-
3869,"Jumbuk, Yinnar, Yinnar South"
3870,"Boolarra, Boolarra South, Budgeree, Grand Ridge, Johnstones Hill"
3871,"Allambee Reserve, Allambee South, Baromi, Darlimurla, Delburn, Dollar, Mirboo, Mirboo North"
3872,-
3873,Gormandale
3874,"Mcloughlins Beach, Woodside, Woodside Beach, Woodside North"
3875,"Bairnsdale, Banksia Peninsula, Bengworden, Broadlands, Bullumwaal, Calulu, Clifton Creek, Deptford, East Bairnsdale, Eastwood, Ellaswood, Fairy Dell, Flaggy Creek, Forge Creek, Goon Nure, Granite Rock, Hillside, Iguana Creek, Lindenow South, Lucknow, Marthavale, Melwood, Merrijig, Mount Taylor, Newlands Arm, Ryans, Sarsfield, Tabberabbera, Walpa, Waterholes, Wentworth, Woodglen, Wuk Wuk, Wy Yung"
3876,-
3878,Eagle Point
3879,-
3880,"Boole Poole, Ocean Grange, Paynesville, Raymond Island"
3882,Nicholson
3884,-
3885,"Brumby, Bruthen, Buchan, Buchan South, Butchers Ridge, Gelantipy, Mossiface, Murrindal, Suggan Buggan, Tambo Upper, Timbarra, W Tree, Wiseleigh, Wulgulmerang, Wulgulmerang East, Wulgulmerang West, Yalmy"
3886,Newmerella
3887,"Lake Tyers, Nowa Nowa, Wairewa"
3888,"Bendoc, Bete Bolong, Bete Bolong North, Bonang, Brodribb River, Cape Conran, Corringle, Deddick Valley, Delegate River, Goongerah, Haydens Bog, Jarrahmond, Marlo, Nurran, Orbost, Simpsons Creek, Tostaree, Tubbut, Waygara, Wombat Creek"
3889,"Bellbird Creek, Bemm River, Cabbage Tree Creek, Club Terrace, Combienbar, Errinundra, Manorina"
3890,"Buldah, Cann River, Chandlers Creek, Noorinbee, Noorinbee North, Tamboon, Tonghi Creek"
3891,"Genoa, Gipsy Point, Maramingo Creek, Wallagaraugh, Wangarabell, Wingan River, Wroxham"
3892,Mallacoota
3893,"Double Bridges, Stirling, Tambo Crossing"
3895,"Doctors Flat, Ensay, Ensay North, Reedy Flat"
3896,"Bindi, Brookville, Nunniong, Swifts Creek, Tongio"
3898,"Anglers Rest, Bingo Munjie, Bundara, Cassilis, Cobungra, Dinner Plain, Glen Valley, Glen Wills, Hinnomunjie, Omeo, Omeo Valley, Shannonvale"
3900,"Benambra, Cobberas"
3902,"Bumberrah, Johnsonville"
3903,Swan Reach
3904,Metung
3905,-
3908,-
3909,"Kalimna, Kalimna West, Lake Bunga, Lake Tyers Beach, Lakes Entrance, Nungurner, Nyerimilang, Toorloo Arm"
3910,Langwarrin
3911,"Baxter, Langwarrin South"
3912,"Pearcedale, Somerville"
3913,Tyabb
3915,"Hastings, Tuerong"
3916,"Merricks, Point Leo, Shoreham"
3918,Bittern
3919,Crib Point
3920,Hmas Cerberus
3921,"Elizabeth Island, French Island"
3922,"Cowes, Silverleaves, Smiths Beach, Summerlands, Sunderland Bay, Sunset Strip, Surf Beach, Ventnor, Wimbledon Heights"
3923,Rhyll
3925,"Cape Woolamai, Churchill Island, Newhaven, San Remo"
3926,"Balnarring, Balnarring Beach, Merricks Beach, Merricks North"
3927,Somers
3928,Main Ridge
3929,Flinders
3930,"Kunyung, Mount Eliza"
3931,Mornington
3932,-
3933,Moorooduc
3934,Mount Martha
3935,-
3936,"Arthurs Seat, Dromana, Safety Beach"
3937,"Red Hill, Red Hill South"
3938,Mccrae
3939,"Boneo, Cape Schanck, Fingal, Rosebud, Rosebud Plaza"
3940,Rosebud West
3941,"Rye, St Andrews Beach, Tootgarook"
3942,Blairgowrie
3943,Sorrento
3944,Portsea
3945,"Jeetho, Krowera, Loch, Woodleigh"
3946,Bena
3950,"Kardella South, Korumburra, Korumburra South, Strzelecki, Whitelaw"
3951,"Arawata, Fairbank, Jumbunna, Kardella, Kongwak, Moyarra, Outtrim, Ranceby"
3953,"Berrys Creek, Boorool, Hallston, Koorooman, Leongatha, Leongatha North, Leongatha South, Mardan, Mount Eccles, Mount Eccles South, Nerrena, Ruby, Trida, Wild Dog Valley, Wooreen"
3954,Koonwarra
3956,"Dumbalk, Dumbalk North, Meeniyan, Middle Tarwin, Tarwin, Tarwin Lower, Venus Bay, Walkerville, Walkerville North, Walkerville South"
3957,Stony Creek
3958,Buffalo
3959,"Fish Creek, Sandy Point, Waratah Bay"
3960,"Bennison, Boolarong, Foster, Foster North, Gunyah, Mount Best, Shallow Inlet, Tidal River, Turtons Creek, Wilsons Promontory, Wonga, Woorarra West, Yanakie"
3961,-
3962,"Agnes, Toora, Toora North, Wonyip, Woorarra East"
3964,Port Franklin
3965,Port Welshpool
3966,"Binginwarri, Hazel Park, Welshpool"
3967,Hedley
3970,-
3971,"Alberton, Alberton West, Balook, Calrossie, Devon North, Gelliondale, Hiawatha, Hunterston, Jack River, Langsborough, Macks Creek, Madalya, Manns Beach, Port Albert, Robertsons Beach, Snake Island, Staceys Bridge, Tarra Valley, Tarraville, Won Wron, Yarram"
3973,-
3974,-
3975,"Lynbrook, Lyndhurst"
3976,Hampton Park
3977,"Botanic Ridge, Cannons Creek, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Cranbourne West, Devon Meadows, Junction Village, Sandhurst, Skye"
3978,"Cardinia, Clyde, Clyde North"
3979,"Almurta, Glen Alvie, Kernot"
3980,"Blind Bight, Tooradin, Warneet"
3981,"Bayles, Catani, Dalmore, Heath Hill, Koo Wee Rup, Koo Wee Rup North, Yannathan"
3984,"Adams Estate, Caldermeade, Corinella, Coronet Bay, Grantville, Jam Jerrup, Lang Lang, Lang Lang East, Monomeith, Pioneer Bay, Queensferry, Tenby Point, The Gurdies"
3985,-
3986,-
3987,Nyora
3988,"Mountain View, Poowong, Poowong East, Poowong North"
3989,-
3990,Glen Forbes
3991,Bass
3992,"Blackwood Forest, Dalyston, Ryanston, West Creek"
3995,"Anderson, Archies Creek, Cape Paterson, Harmers Haven, Kilcunda, Lance Creek, North Wonthaggi, South Dudley, St Clair, Wattle Bank, Wonthaggi, Woolamai"
3996,"Inverloch, Pound Creek"
3999,-